,station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
5614783,CBF,2008-12-22 15:04,-95.7604,41.2611,-5.00,-11.00,74.61,0.00,0.00,M,30.43,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-5.00,M
5240486,ORC,2008-11-30 07:35,-96.0606,42.9895,30.20,26.60,86.28,340.00,9.00,M,29.64,M,7.00,M,OVC,   ,   ,M,3200.00,M,M,M,-SN,M,M,M,M,M,M,21.28,METAR KORC 300735Z AUTO 34009KT 7SM -SN OVC032 M01/M03 A2964 RMK AO2
890933,SLB,2008-02-24 17:43,-95.2399,42.5972,36.00,34.00,92.35,240.00,13.00,M,29.92,M,1.50,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.69,M
4965137,C75,2008-11-13 23:04,-89.3864,41.0193,53.60,42.80,66.70,190.00,15.00,M,29.57,M,10.00,23.00,OVC,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,53.60,KC75 132304Z AUTO 19015G23KT 10SM OVC110 12/06 A2957 RMK AO2
4793644,SBA,2008-11-02 10:18,-119.8436,34.4261,60.80,57.20,87.92,80.00,4.00,0.06,30.05,M,1.75,M,OVC,   ,   ,   ,1200.00,M,M,M,-RA BR,M,M,M,M,M,M,60.80,KSBA 021018Z AUTO 08004KT 1 3/4SM -RA BR OVC012 16/14 A3005 RMK AO2 P0006
5299712,BNW,2008-12-04 03:06,-93.8486,42.0486,18.00,12.00,76.97,300.00,12.00,M,30.21,M,10.00,16.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,4.18,M
5743266,DKB,2008-12-30 05:45,-88.7057,41.9338,28.04,23.54,82.97,290.00,7.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,19.95,KDKB 300545Z AUTO 29007KT 10SM CLR M02/M05 A3019 RMK AO2 T10221047 10005 21025 400401048
319299,COE,2008-01-20 19:15,-116.8196,47.7743,21.20,12.20,67.73,50.00,20.00,M,30.11,M,10.00,24.00,BKN,   ,   ,   ,7000.00,M,M,M,M,M,M,M,M,M,M,4.79,KCOE 201915Z AUTO 05020G24KT 10SM BKN070 M06/M11 A3011 RMK AO1
1436864,CWI,2008-03-29 11:35,-90.3328,41.8295,24.80,21.20,85.96,110.00,4.00,M,30.41,M,9.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,19.01,M
210979,MUT,2008-01-13 23:44,-91.1406,41.367,25.00,19.00,77.62,260.00,12.00,M,30.10,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.09,M
